customer_id,segment,signup_date,email_signup
1,casual,2025-09-21,1
2,casual,2024-12-06,0
3,casual,2025-02-12,0
4,other,2026-04-09,0
5,dedicated,2024-12-09,1
6,dedicated,2025-12-09,1
7,casual,2025-06-12,0
8,other,2025-06-28,1
9,casual,2026-08-27,1
10,casual,2025-12-17,0
11,other,2025-12-24,1
12,other,2025-06-13,0
13,dedicated,2025-07-06,0
14,other,2026-02-13,1
15,dedicated,2024-10-29,1
16,casual,2025-03-23,0
17,dedicated,2025-12-13,1
18,other,2025-12-30,0
19,casual,2024-12-07,0
20,other,2026-04-29,1
21,casual,2025-11-01,1
22,casual,2025-03-23,0
23,other,2026-04-02,0
24,other,2026-09-24,0
25,dedicated,2025-08-06,1
26,casual,2025-04-25,0
27,casual,2025-05-07,1
28,casual,2025-12-07,0
29,casual,2024-11-04,1
30,other,2025-09-18,0
31,dedicated,2024-10-19,1
32,casual,2024-10-29,1
33,casual,2025-08-10,0
34,casual,2026-03-29,0
35,other,2026-07-07,1
36,dedicated,2024-12-03,1
37,casual,2025-03-28,1
38,other,2025-08-04,1
39,casual,2025-11-24,0
40,casual,2026-09-21,1
41,other,2026-02-12,0
42,casual,2025-10-29,1
43,other,2024-11-14,0
44,casual,2024-11-28,1
45,casual,2025-01-20,0
46,casual,2026-01-26,1
47,dedicated,2025-05-30,0
48,dedicated,2025-03-25,1
49,other,2026-02-02,0
50,other,2026-05-19,1
51,casual,2025-08-17,1
52,other,2026-07-06,1
53,casual,2026-03-20,1
54,casual,2026-03-07,0
55,casual,2026-06-26,0
56,casual,2025-02-12,0
57,casual,2026-04-07,0
58,other,2026-08-31,1
59,dedicated,2026-09-25,1
60,casual,2025-11-26,0
61,dedicated,2026-04-04,1
62,other,2026-07-11,1
63,other,2026-06-15,0
64,casual,2026-07-18,0
65,other,2026-05-31,0
66,other,2025-07-06,0
67,casual,2026-03-18,0
68,other,2025-07-27,1
69,other,2026-05-09,0
70,casual,2026-05-15,1
71,dedicated,2026-08-14,0
72,dedicated,2025-12-04,0
73,other,2025-09-12,0
74,other,2025-01-29,1
75,casual,2026-01-09,0
76,casual,2025-11-18,1
77,casual,2025-10-11,0
78,casual,2026-02-06,1
79,casual,2026-06-14,1
80,casual,2025-01-17,0
81,other,2025-08-11,0
82,casual,2026-03-12,0
83,other,2026-05-22,1
84,other,2026-04-22,0
85,other,2026-05-07,1
86,casual,2026-06-17,1
87,casual,2026-09-03,0
88,casual,2025-12-18,1
89,casual,2025-03-31,0
90,casual,2025-11-16,1
91,other,2026-03-03,1
92,other,2024-12-13,0
93,casual,2026-04-06,1
94,dedicated,2025-11-02,1
95,casual,2026-08-15,0
96,casual,2025-03-04,1
97,other,2026-07-25,0
98,casual,2025-08-24,1
99,casual,2025-11-23,1
100,casual,2026-01-25,1
101,casual,2025-11-27,0
102,dedicated,2026-07-22,1
103,casual,2025-01-31,0
104,casual,2026-03-17,0
105,other,2026-09-12,0
106,casual,2025-03-10,0
107,dedicated,2025-04-05,1
108,casual,2025-09-12,0
