transaction_id,customer_id,purchase_date,subtotal,discount_used,discount_percent,total_spent
1,1,2025-11-11,83.67,0,0.0,83.67
2,1,2025-12-12,63.55,0,0.0,63.55
3,1,2026-01-30,30.88,0,0.0,30.88
4,1,2026-02-11,106.98,0,0.0,106.98
5,1,2026-04-05,117.22,1,0.3,81.67
6,1,2026-04-24,82.27,0,0.0,82.27
7,1,2026-05-04,111.18,0,0.0,111.18
8,1,2026-06-02,67.01,1,0.12,59.23
9,1,2026-06-10,72.08,1,0.27,52.52
10,1,2026-06-12,41.63,0,0.0,41.63
11,2,2024-12-27,99.89,0,0.0,99.89
12,2,2025-03-31,15.28,0,0.0,15.28
13,2,2025-04-14,98.72,0,0.0,98.72
14,2,2025-06-06,55.41,0,0.0,55.41
15,2,2025-06-09,82.86,0,0.0,82.86
16,2,2025-07-29,83.07,0,0.0,83.07
17,2,2025-10-29,96.05,0,0.0,96.05
18,2,2025-10-30,68.68,0,0.0,68.68
19,2,2025-11-19,98.33,1,0.13,85.24
20,2,2025-11-25,102.93,0,0.0,102.93
21,2,2025-12-15,58.31,0,0.0,58.31
22,2,2025-12-27,72.61,0,0.0,72.61
23,2,2026-01-09,104.87,1,0.36,66.89
24,2,2026-01-21,57.66,0,0.0,57.66
25,2,2026-02-19,132.15,1,0.32,90.42
26,2,2026-05-27,100.98,0,0.0,100.98
27,2,2026-06-20,34.06,1,0.12,30.02
28,3,2025-04-07,52.51,0,0.0,52.51
29,3,2025-05-22,64.09,0,0.0,64.09
30,3,2025-06-05,33.71,0,0.0,33.71
31,3,2025-09-04,57.01,0,0.0,57.01
32,3,2025-09-11,82.51,1,0.36,52.51
33,3,2025-10-11,86.28,0,0.0,86.28
34,3,2026-05-09,10.96,0,0.0,10.96
35,3,2026-06-25,105.86,0,0.0,105.86
36,4,2026-04-21,46.47,0,0.0,46.47
37,4,2026-05-03,21.8,0,0.0,21.8
38,4,2026-08-03,56.85,0,0.0,56.85
39,5,2024-12-13,161.75,1,0.28,116.14
40,5,2024-12-19,111.64,0,0.0,111.64
41,5,2025-01-01,176.88,0,0.0,176.88
42,5,2025-01-02,39.68,0,0.0,39.68
43,5,2025-01-11,96.74,0,0.0,96.74
44,5,2025-01-18,144.76,0,0.0,144.76
45,5,2025-01-19,125.89,0,0.0,125.89
46,5,2025-03-17,129.54,1,0.23,99.44
47,5,2025-03-21,187.86,0,0.0,187.86
48,5,2025-03-24,183.0,0,0.0,183.0
49,5,2025-03-30,127.94,0,0.0,127.94
50,5,2025-04-04,158.61,0,0.0,158.61
51,5,2025-04-10,93.36,0,0.0,93.36
52,5,2025-04-14,75.56,0,0.0,75.56
53,5,2025-04-20,183.61,0,0.0,183.61
54,5,2025-05-08,124.55,0,0.0,124.55
55,5,2025-05-23,71.01,1,0.17,58.83
56,5,2025-06-07,141.23,0,0.0,141.23
57,5,2025-06-08,63.72,0,0.0,63.72
58,5,2025-06-10,97.05,1,0.21,76.32
59,5,2025-06-15,73.85,0,0.0,73.85
60,5,2025-11-06,126.04,0,0.0,126.04
61,5,2025-11-24,56.71,1,0.1,50.96
62,5,2025-12-16,76.38,0,0.0,76.38
63,5,2026-01-12,100.39,0,0.0,100.39
64,5,2026-01-22,174.75,0,0.0,174.75
65,5,2026-02-11,100.34,0,0.0,100.34
66,5,2026-02-13,161.98,1,0.28,117.01
67,5,2026-02-16,152.47,0,0.0,152.47
68,5,2026-04-08,112.67,0,0.0,112.67
69,5,2026-05-05,124.04,1,0.21,97.74
70,5,2026-05-19,114.81,0,0.0,114.81
71,5,2026-05-25,101.68,0,0.0,101.68
72,5,2026-05-28,141.65,0,0.0,141.65
73,5,2026-06-23,192.66,0,0.0,192.66
74,5,2026-06-26,115.43,0,0.0,115.43
75,5,2026-07-26,96.54,0,0.0,96.54
76,5,2026-08-07,105.14,0,0.0,105.14
77,6,2026-02-03,111.44,0,0.0,111.44
78,6,2026-02-22,81.98,0,0.0,81.98
79,6,2026-03-04,93.77,0,0.0,93.77
80,6,2026-03-21,171.47,0,0.0,171.47
81,6,2026-04-12,117.01,0,0.0,117.01
82,6,2026-04-28,73.22,0,0.0,73.22
83,6,2026-05-07,145.9,1,0.17,120.6
84,6,2026-05-12,149.99,1,0.11,133.72
85,6,2026-05-20,92.22,0,0.0,92.22
86,6,2026-06-04,101.45,0,0.0,101.45
87,6,2026-06-10,123.78,0,0.0,123.78
88,6,2026-07-10,98.59,1,0.26,72.47
89,6,2026-08-18,125.05,0,0.0,125.05
90,6,2026-09-03,30.29,0,0.0,30.29
91,6,2026-09-19,93.47,0,0.0,93.47
92,7,2025-08-15,105.84,0,0.0,105.84
93,7,2025-12-04,23.24,1,0.14,20.05
94,7,2025-12-29,76.34,0,0.0,76.34
95,7,2026-01-24,56.29,1,0.13,49.05
96,7,2026-02-01,82.66,1,0.18,67.59
97,7,2026-04-21,57.24,1,0.18,47.12
98,7,2026-04-24,31.42,1,0.28,22.62
99,7,2026-05-06,89.55,0,0.0,89.55
100,7,2026-05-16,55.58,1,0.21,44.16
101,7,2026-05-31,17.5,1,0.2,14.02
102,7,2026-08-24,10.0,1,0.16,8.44
103,7,2026-09-04,56.75,0,0.0,56.75
104,7,2026-09-12,87.78,0,0.0,87.78
105,8,2025-07-06,10.0,1,0.14,8.61
106,8,2025-07-14,47.12,0,0.0,47.12
107,8,2025-10-23,42.19,1,0.16,35.46
108,8,2026-04-25,45.54,1,0.3,32.06
109,8,2026-04-30,30.46,1,0.15,25.78
110,8,2026-05-01,61.38,0,0.0,61.38
111,8,2026-05-18,88.61,1,0.18,72.55
112,8,2026-07-07,94.53,1,0.23,73.21
113,10,2026-05-01,74.06,0,0.0,74.06
114,10,2026-05-06,76.83,0,0.0,76.83
115,10,2026-05-08,58.75,0,0.0,58.75
116,10,2026-05-15,82.35,1,0.24,62.97
117,10,2026-05-23,70.28,0,0.0,70.28
118,11,2025-12-29,50.22,1,0.2,40.01
119,11,2026-01-05,84.5,0,0.0,84.5
120,11,2026-04-16,49.28,1,0.19,39.85
121,11,2026-04-25,76.13,0,0.0,76.13
122,11,2026-05-13,27.66,0,0.0,27.66
123,11,2026-08-22,85.01,1,0.32,57.48
124,12,2025-07-29,59.16,1,0.18,48.4
125,12,2025-12-04,28.31,1,0.12,24.84
126,12,2026-02-04,10.0,1,0.36,6.36
127,12,2026-06-09,71.7,1,0.11,63.86
128,13,2025-09-17,160.56,0,0.0,160.56
129,13,2025-10-03,125.93,1,0.16,106.08
130,13,2025-10-04,119.29,0,0.0,119.29
131,13,2025-10-07,78.06,1,0.36,49.97
132,13,2025-10-08,108.19,0,0.0,108.19
133,13,2025-10-25,111.17,0,0.0,111.17
134,13,2025-11-04,109.89,1,0.13,95.53
135,13,2025-11-11,87.34,0,0.0,87.34
136,13,2025-12-17,163.16,0,0.0,163.16
137,13,2026-01-23,117.59,0,0.0,117.59
138,13,2026-02-02,133.1,0,0.0,133.1
139,13,2026-02-07,111.21,1,0.28,80.0
140,13,2026-02-22,167.86,0,0.0,167.86
141,13,2026-03-23,162.18,0,0.0,162.18
142,13,2026-04-17,93.55,0,0.0,93.55
143,13,2026-05-02,84.1,1,0.21,66.78
144,13,2026-05-06,144.78,0,0.0,144.78
145,13,2026-05-31,185.11,0,0.0,185.11
146,13,2026-06-07,164.1,1,0.13,142.46
147,13,2026-06-09,165.26,0,0.0,165.26
148,13,2026-06-14,72.54,0,0.0,72.54
149,13,2026-06-22,154.72,0,0.0,154.72
150,13,2026-08-17,76.59,0,0.0,76.59
151,14,2026-02-20,23.42,1,0.37,14.65
152,14,2026-03-20,36.39,0,0.0,36.39
153,14,2026-04-24,44.31,1,0.16,37.09
154,14,2026-05-15,64.01,1,0.33,42.84
155,15,2024-11-23,119.68,1,0.35,78.25
156,15,2024-11-29,127.81,0,0.0,127.81
157,15,2024-12-21,114.81,1,0.35,74.3
158,15,2024-12-27,132.87,1,0.35,86.07
159,15,2024-12-31,125.3,0,0.0,125.3
160,15,2025-01-18,190.76,0,0.0,190.76
161,15,2025-01-24,165.0,0,0.0,165.0
162,15,2025-02-06,114.0,1,0.3,79.78
163,15,2025-02-12,130.9,0,0.0,130.9
164,15,2025-02-17,111.83,0,0.0,111.83
165,15,2025-02-26,113.0,0,0.0,113.0
166,15,2025-03-11,118.53,0,0.0,118.53
167,15,2025-04-04,120.9,1,0.12,106.68
168,15,2025-04-22,167.48,0,0.0,167.48
169,15,2025-04-28,106.88,0,0.0,106.88
170,15,2025-05-09,142.97,1,0.27,104.21
171,15,2025-05-23,126.88,1,0.34,83.33
172,15,2025-05-27,75.14,1,0.11,66.88
173,15,2025-06-05,161.96,0,0.0,161.96
174,15,2025-06-09,137.07,0,0.0,137.07
175,15,2025-06-30,104.2,0,0.0,104.2
176,15,2025-07-06,148.18,1,0.19,120.58
177,15,2025-08-03,85.3,0,0.0,85.3
178,15,2025-10-24,99.25,1,0.13,86.61
179,15,2025-11-10,91.95,0,0.0,91.95
180,15,2025-11-14,102.53,0,0.0,102.53
181,15,2025-11-17,108.55,0,0.0,108.55
182,15,2026-02-21,168.52,0,0.0,168.52
183,15,2026-03-22,100.61,1,0.32,68.69
184,15,2026-03-27,109.29,0,0.0,109.29
185,15,2026-04-09,74.12,0,0.0,74.12
186,15,2026-05-27,131.85,0,0.0,131.85
187,15,2026-06-07,222.58,0,0.0,222.58
188,15,2026-06-12,110.06,0,0.0,110.06
189,15,2026-09-09,145.64,0,0.0,145.64
190,15,2026-09-30,169.57,0,0.0,169.57
191,16,2025-04-02,55.07,1,0.37,34.53
192,16,2025-04-17,44.89,1,0.2,35.83
193,16,2025-04-21,68.54,1,0.3,48.1
194,16,2025-05-19,54.39,0,0.0,54.39
195,16,2025-10-12,107.15,0,0.0,107.15
196,16,2025-12-20,129.94,0,0.0,129.94
197,16,2026-03-19,58.8,1,0.18,48.37
198,16,2026-04-05,85.43,1,0.39,51.86
199,16,2026-04-06,128.23,1,0.39,78.18
200,16,2026-04-21,44.79,1,0.14,38.65
201,16,2026-05-19,71.22,1,0.21,56.05
202,16,2026-07-15,110.99,0,0.0,110.99
203,16,2026-09-05,89.12,0,0.0,89.12
204,16,2026-09-30,119.75,0,0.0,119.75
205,17,2025-12-15,112.78,0,0.0,112.78
206,17,2026-01-01,159.9,1,0.4,96.48
207,17,2026-01-27,83.51,0,0.0,83.51
208,17,2026-01-29,114.6,0,0.0,114.6
209,17,2026-01-31,92.28,1,0.2,74.18
210,17,2026-02-06,169.59,0,0.0,169.59
211,17,2026-03-24,156.36,0,0.0,156.36
212,17,2026-04-14,146.52,0,0.0,146.52
213,17,2026-04-19,100.46,0,0.0,100.46
214,17,2026-05-13,153.32,0,0.0,153.32
215,17,2026-05-18,171.6,0,0.0,171.6
216,17,2026-05-21,74.87,0,0.0,74.87
217,17,2026-05-22,81.9,0,0.0,81.9
218,17,2026-06-03,69.49,0,0.0,69.49
219,17,2026-06-30,107.76,1,0.21,85.42
220,17,2026-07-28,57.54,1,0.33,38.3
221,18,2026-01-15,51.98,0,0.0,51.98
222,18,2026-02-07,19.11,0,0.0,19.11
223,18,2026-04-07,10.0,0,0.0,10.0
224,18,2026-05-24,37.16,1,0.3,25.94
225,19,2025-01-25,56.21,0,0.0,56.21
226,19,2025-03-26,91.86,1,0.27,67.31
227,19,2025-05-07,69.46,0,0.0,69.46
228,19,2025-06-04,89.15,0,0.0,89.15
229,19,2025-06-13,104.87,0,0.0,104.87
230,19,2025-07-01,10.0,0,0.0,10.0
231,19,2025-12-12,19.08,1,0.28,13.77
232,19,2026-03-12,36.06,0,0.0,36.06
233,19,2026-03-15,128.34,0,0.0,128.34
234,19,2026-05-02,94.03,0,0.0,94.03
235,19,2026-09-28,67.0,0,0.0,67.0
236,20,2026-06-05,11.16,0,0.0,11.16
237,20,2026-07-15,98.08,1,0.14,84.15
238,21,2025-11-29,64.5,0,0.0,64.5
239,21,2025-12-19,65.45,1,0.12,57.8
240,21,2026-01-11,57.72,1,0.32,39.4
241,21,2026-03-15,99.78,0,0.0,99.78
242,21,2026-05-18,67.79,1,0.19,54.82
243,21,2026-05-26,10.0,1,0.28,7.2
244,21,2026-05-28,95.88,0,0.0,95.88
245,21,2026-06-28,52.8,0,0.0,52.8
246,21,2026-08-01,10.0,1,0.21,7.87
247,22,2025-04-28,119.12,0,0.0,119.12
248,22,2025-05-16,59.61,0,0.0,59.61
249,22,2025-05-20,44.0,1,0.35,28.78
250,22,2025-12-23,107.29,0,0.0,107.29
251,22,2026-01-27,92.85,1,0.29,66.01
252,22,2026-02-01,63.42,0,0.0,63.42
253,22,2026-03-11,73.15,0,0.0,73.15
254,22,2026-05-20,68.02,1,0.39,41.31
255,22,2026-05-28,99.23,1,0.39,60.28
256,23,2026-04-17,90.57,1,0.32,61.83
257,23,2026-05-03,67.76,1,0.32,46.26
258,23,2026-06-13,90.76,1,0.14,77.85
259,23,2026-06-14,93.51,0,0.0,93.51
260,23,2026-07-11,10.0,1,0.13,8.74
261,25,2025-08-17,103.71,0,0.0,103.71
262,25,2025-09-02,66.92,0,0.0,66.92
263,25,2025-10-01,105.59,1,0.38,65.73
264,25,2025-10-02,140.2,0,0.0,140.2
265,25,2025-10-18,106.51,0,0.0,106.51
266,25,2025-10-20,109.01,0,0.0,109.01
267,25,2025-11-18,216.41,0,0.0,216.41
268,25,2025-11-20,158.27,0,0.0,158.27
269,25,2025-12-06,153.58,0,0.0,153.58
270,25,2025-12-09,173.76,0,0.0,173.76
271,25,2025-12-21,114.65,0,0.0,114.65
272,25,2026-01-05,180.76,0,0.0,180.76
273,25,2026-01-25,140.85,1,0.22,110.04
274,25,2026-01-31,130.89,0,0.0,130.89
275,25,2026-02-26,54.17,0,0.0,54.17
276,25,2026-03-05,109.06,0,0.0,109.06
277,25,2026-03-09,115.29,0,0.0,115.29
278,25,2026-04-16,145.49,1,0.17,120.79
279,25,2026-05-01,94.46,0,0.0,94.46
280,25,2026-05-05,78.17,1,0.14,67.38
281,25,2026-05-08,144.32,1,0.21,113.3
282,25,2026-05-18,117.67,0,0.0,117.67
283,25,2026-05-23,137.73,0,0.0,137.73
284,25,2026-05-27,193.53,0,0.0,193.53
285,25,2026-07-06,108.99,1,0.3,75.77
286,25,2026-07-19,93.16,1,0.27,68.05
287,25,2026-07-23,158.18,0,0.0,158.18
288,25,2026-08-14,178.69,0,0.0,178.69
289,26,2025-05-14,22.47,0,0.0,22.47
290,26,2025-05-27,22.3,1,0.21,17.59
291,26,2025-06-01,106.87,0,0.0,106.87
292,26,2025-06-08,17.84,1,0.35,11.57
293,26,2025-09-01,74.73,1,0.25,56.17
294,26,2025-11-15,90.92,0,0.0,90.92
295,26,2025-11-27,106.34,0,0.0,106.34
296,26,2026-04-19,41.71,1,0.16,35.09
297,26,2026-06-06,90.64,1,0.18,73.98
298,26,2026-06-07,65.19,0,0.0,65.19
299,26,2026-06-14,45.94,0,0.0,45.94
300,27,2025-05-31,95.37,0,0.0,95.37
301,27,2025-07-21,51.31,0,0.0,51.31
302,27,2025-11-03,94.26,0,0.0,94.26
303,27,2026-03-21,70.05,0,0.0,70.05
304,27,2026-04-03,45.41,0,0.0,45.41
305,27,2026-04-16,59.72,1,0.13,52.0
306,28,2026-03-05,111.1,1,0.37,70.05
307,28,2026-03-06,57.14,0,0.0,57.14
308,28,2026-04-10,10.0,0,0.0,10.0
309,28,2026-04-19,66.15,1,0.4,39.74
310,28,2026-05-01,68.25,0,0.0,68.25
311,28,2026-07-24,33.84,0,0.0,33.84
312,28,2026-09-25,25.26,1,0.38,15.57
313,29,2025-01-28,122.74,1,0.25,91.81
314,29,2025-02-02,130.27,1,0.38,80.17
315,29,2025-02-08,76.75,1,0.33,51.28
316,29,2025-03-31,81.35,0,0.0,81.35
317,29,2025-04-29,36.79,0,0.0,36.79
318,29,2025-04-30,78.03,1,0.34,51.68
319,29,2025-05-01,56.39,0,0.0,56.39
320,29,2025-05-11,107.79,1,0.28,77.64
321,29,2025-05-13,77.0,1,0.21,60.45
322,29,2025-12-10,100.24,0,0.0,100.24
323,29,2026-01-28,76.24,1,0.32,52.16
324,29,2026-02-20,92.24,1,0.13,79.81
325,29,2026-03-29,76.89,0,0.0,76.89
326,29,2026-04-23,85.09,0,0.0,85.09
327,29,2026-04-25,50.5,0,0.0,50.5
328,29,2026-05-04,84.17,0,0.0,84.17
329,29,2026-05-14,47.0,0,0.0,47.0
330,29,2026-05-29,40.9,1,0.15,34.91
331,29,2026-09-23,78.09,1,0.19,63.36
332,30,2025-11-19,51.09,1,0.35,33.39
333,30,2025-12-06,76.69,1,0.31,52.86
334,30,2025-12-20,52.32,1,0.15,44.26
335,30,2026-04-05,61.82,1,0.25,46.55
336,30,2026-09-06,72.48,1,0.36,46.22
337,31,2024-10-30,127.25,0,0.0,127.25
338,31,2024-11-13,201.21,0,0.0,201.21
339,31,2024-11-19,93.62,0,0.0,93.62
340,31,2024-12-03,136.39,0,0.0,136.39
341,31,2025-01-07,123.98,0,0.0,123.98
342,31,2025-03-11,138.57,0,0.0,138.57
343,31,2025-03-22,121.11,0,0.0,121.11
344,31,2025-04-27,44.97,0,0.0,44.97
345,31,2025-04-30,194.75,1,0.14,167.78
346,31,2025-05-01,96.72,0,0.0,96.72
347,31,2025-05-14,106.73,0,0.0,106.73
348,31,2025-05-19,148.14,0,0.0,148.14
349,31,2025-05-26,129.79,0,0.0,129.79
350,31,2025-05-27,119.77,0,0.0,119.77
351,31,2025-05-31,43.51,0,0.0,43.51
352,31,2025-08-04,98.5,0,0.0,98.5
353,31,2025-09-28,109.27,0,0.0,109.27
354,31,2025-09-29,97.99,0,0.0,97.99
355,31,2025-11-16,93.58,0,0.0,93.58
356,31,2025-11-18,60.63,0,0.0,60.63
357,31,2025-11-19,103.24,0,0.0,103.24
358,31,2025-12-10,27.39,0,0.0,27.39
359,31,2025-12-21,122.35,0,0.0,122.35
360,31,2026-01-06,155.07,1,0.19,125.77
361,31,2026-01-10,84.24,1,0.33,56.15
362,31,2026-01-27,165.9,1,0.12,146.24
363,31,2026-02-15,150.98,0,0.0,150.98
364,31,2026-02-22,111.21,1,0.3,77.49
365,31,2026-03-04,131.35,0,0.0,131.35
366,31,2026-05-07,147.86,0,0.0,147.86
367,31,2026-05-16,108.48,0,0.0,108.48
368,31,2026-05-17,75.93,0,0.0,75.93
369,31,2026-05-22,120.75,0,0.0,120.75
370,32,2024-10-29,95.75,1,0.19,77.59
371,32,2024-11-07,56.65,0,0.0,56.65
372,32,2024-11-23,80.28,0,0.0,80.28
373,32,2025-01-14,116.53,1,0.17,97.22
374,32,2025-02-18,67.25,0,0.0,67.25
375,32,2025-04-12,44.34,0,0.0,44.34
376,32,2025-05-02,92.58,1,0.28,66.4
377,32,2025-05-23,125.51,1,0.23,96.87
378,32,2025-10-10,60.32,1,0.35,39.47
379,32,2025-10-26,108.45,1,0.21,85.2
380,32,2026-01-26,116.38,0,0.0,116.38
381,32,2026-02-24,51.19,1,0.24,38.76
382,32,2026-05-23,25.98,0,0.0,25.98
383,32,2026-06-01,93.92,1,0.36,60.53
384,32,2026-06-05,107.84,0,0.0,107.84
385,32,2026-06-25,60.06,0,0.0,60.06
386,32,2026-07-01,152.73,0,0.0,152.73
387,33,2025-08-10,74.8,0,0.0,74.8
388,33,2025-10-08,110.69,0,0.0,110.69
389,33,2025-12-05,68.9,1,0.22,53.68
390,33,2026-02-18,51.64,1,0.23,39.92
391,33,2026-04-17,113.02,1,0.19,91.93
392,33,2026-04-19,37.15,0,0.0,37.15
393,33,2026-05-03,52.09,0,0.0,52.09
394,33,2026-06-03,123.54,1,0.35,80.54
395,33,2026-09-23,54.58,0,0.0,54.58
396,34,2026-04-16,55.61,1,0.38,34.6
397,34,2026-04-19,43.56,0,0.0,43.56
398,34,2026-04-24,43.2,1,0.37,27.09
399,34,2026-05-15,58.65,1,0.23,45.03
400,34,2026-06-04,52.15,1,0.27,38.29
401,34,2026-06-14,71.74,1,0.13,62.27
402,36,2024-12-28,76.67,0,0.0,76.67
403,36,2025-01-06,102.08,1,0.38,63.58
404,36,2025-01-31,140.64,0,0.0,140.64
405,36,2025-02-06,208.48,0,0.0,208.48
406,36,2025-03-03,94.3,0,0.0,94.3
407,36,2025-03-10,60.45,0,0.0,60.45
408,36,2025-04-09,119.42,1,0.29,84.3
409,36,2025-04-22,150.6,0,0.0,150.6
410,36,2025-05-11,46.59,1,0.16,39.17
411,36,2025-05-18,61.24,1,0.11,54.62
412,36,2025-05-22,73.96,0,0.0,73.96
413,36,2025-06-15,107.38,1,0.16,90.17
414,36,2025-07-16,96.96,0,0.0,96.96
415,36,2025-07-17,189.32,0,0.0,189.32
416,36,2025-08-05,164.99,0,0.0,164.99
417,36,2025-10-05,135.94,0,0.0,135.94
418,36,2025-10-07,126.36,0,0.0,126.36
419,36,2025-10-10,127.8,0,0.0,127.8
420,36,2025-11-12,101.78,1,0.36,64.7
421,36,2025-11-13,117.98,1,0.17,98.29
422,36,2026-01-19,163.27,0,0.0,163.27
423,36,2026-02-07,167.68,1,0.37,105.49
424,36,2026-02-15,120.59,0,0.0,120.59
425,36,2026-02-21,77.7,0,0.0,77.7
426,36,2026-03-05,96.72,0,0.0,96.72
427,36,2026-03-07,98.33,0,0.0,98.33
428,36,2026-03-13,85.42,0,0.0,85.42
429,36,2026-03-21,189.22,0,0.0,189.22
430,36,2026-03-30,155.69,0,0.0,155.69
431,36,2026-04-13,97.37,0,0.0,97.37
432,36,2026-04-14,139.17,1,0.25,104.34
433,36,2026-04-22,166.32,0,0.0,166.32
434,36,2026-05-07,115.55,0,0.0,115.55
435,36,2026-05-11,31.41,0,0.0,31.41
436,36,2026-05-14,141.99,1,0.18,115.83
437,36,2026-05-19,135.01,0,0.0,135.01
438,36,2026-05-24,64.37,1,0.37,40.36
439,36,2026-06-02,168.91,0,0.0,168.91
440,36,2026-06-12,62.89,0,0.0,62.89
441,36,2026-07-25,168.15,0,0.0,168.15
442,36,2026-07-28,147.61,1,0.24,112.57
443,36,2026-08-08,63.13,0,0.0,63.13
444,36,2026-08-18,141.57,0,0.0,141.57
445,37,2025-05-03,86.42,1,0.35,56.41
